-40	336500
-39	315000
-38	295000
-37	276400
-36	259000
-35	242800
-34	227800
-33	213800
-32	200600
-31	188400
-30	177000
-29	166400
-28	156500
-27	147200
-26	137500
-25	130400
-24	122900
-23	115800
-22	109100
-21	102900
-20	97120
-19	91660
-18	86540
-17	81720
-16	77220
-15	72980
-14	69000
-13	65260
-12	61760
-11	58460
-10	55340
-9	52420
-8	49660
-7	47080
-6	44540
-5	42340
-4	40160
-3	38120
-2	36200
-1	34380
0	32880
1	31040
2	29500
3	28060
4	26680
5	25400
6	24180
7	23020
8	21920
9	20880
10	19900
11	18970
12	18090
13	17250
14	16480
15	15710
16	15000
17	14320
18	13680
19	13070
20	12490
21	11940
22	11420
23	10920
24	10450
25	10320
26	10450
27	10000
28	9574
29	9116
30	8778
31	8408
32	8058
33	7722
34	7404
35	7098
36	6808
37	6542
38	6258
39	6016
40	5776
41	5326
42	5118
43	4918
44	4726
45	4544
46	4368
47	4202
48	4042
49	3888
50	3742

